ca1,co2,Columna1,Columna2,Columna2
08330954,0,,,
08330955,0,,,
08330956,0,,,
08330957,0,,,
08330958,0,,,
08330959,0,,,
08330960,0,,,
08330961,0,,,
08330962,0,,,
08330963,0,,,
08330964,0,,,
08330965,0,,,
08330966,0,,,
08330967,0,,,
08330968,0,,,
08330969,0,,,
08330970,0,,,
08330971,0,,,
08330972,0,,,
08330973,0,,,
08330974,0,,,
08330975,0,,,
08330976,0,,,
08330977,0,,,
08330978,0,,,
08330979,0,,,
08330980,0,,,
08330981,0,,,
08330982,0,,,
08330983,0,,,
08330984,0,,,
08330985,0,,,
08330986,0,,,
08330987,0,,,
08330988,0,,,
08330989,0,,,
08330990,0,,,
08330991,0,,,
08330992,0,,,
08330993,0,,,
08330994,0,,,
08330995,0,,,
08330996,0,,,
08330997,0,,,
08330998,0,,,
08330999,0,,,
08331000,0,,,
08331001,0,,,
08331002,0,,,
08331003,0,,,
08331004,0,,,
08331005,0,,,
08331006,0,,,
08331007,0,,,
08331008,0,,,
08331009,0,,,
08331010,0,,,
08331011,0,,,
08331012,0,,,
08331013,0,,,
08331014,0,,,
08331015,0,,,
08331016,0,,,
08331017,0,,,
08331018,0,,,
08331019,0,,,
08331020,0,,,
08331021,0,,,
08331022,0,,,
08331023,0,,,
08331024,0,,,
08331025,0,,,
08331026,0,,,
08331027,0,,,
08331028,0,,,
08331029,0,,,
08331030,0,,,
08331031,0,,,
08331032,0,,,
08331033,0,,,
08331034,0,,,
08331035,0,,,
08331036,0,,,
08331037,0,,,
08331038,0,,,
08331039,0,,,
08331040,0,,,
08331041,0,,,
08331042,0,,,
08331043,0,,,
08331044,0,,,
08331045,0,,,
08331046,0,,,
08331047,0,,,
08331048,0,,,
08331049,0,,,
08331050,0,,,
08331051,0,,,
08331052,0,,,
08331053,0,,,
08331054,0,,,
08331055,0,,,
08331056,0,,,
08331057,0,,,
08331058,0,,,
08331059,0,,,
08331060,0,,,
08331061,0,,,
08331062,0,,,
08331063,0,,,
08331064,0,,,
08331065,0,,,
08331066,0,,,
08331067,0,,,
08331068,0,,,
08331069,0,,,
08331070,0,,,
08331071,0,,,
08331072,0,,,
08331073,0,,,
08331074,0,,,
08331075,0,,,
08331076,0,,,
08331077,0,,,
08331078,0,,,
08331079,0,,,
08331080,0,,,
08331081,0,,,
08331082,0,,,
08331083,0,,,
08331084,0,,,
08331085,0,,,
08331086,0,,,
08331087,0,,,
08331088,0,,,
08331089,0,,,
08331090,0,,,
08331091,0,,,
08331092,0,,,
08331093,0,,,
08331094,0,,,
08331095,0,,,
08331096,0,,,
08331097,0,,,
08331098,0,,,
08331099,0,,,
08331100,0,,,
08331101,0,,,
08331102,0,,,
08331103,0,,,
08331104,0,,,
08331105,0,,,
08331106,0,,,
08331107,0,,,
08331108,0,,,
08331109,0,,,
08331110,0,,,
08331111,0,,,
08331112,0,,,
08331113,0,,,
08331114,0,,,
08331115,0,,,
08331116,0,,,
08331117,0,,,
08331118,0,,,
08331119,0,,,
