asd,co2,Columna1,Columna2,Columna2
41003215,0,,,
41003216,0,,,
41003217,0,,,
41003218,0,,,
41003219,0,,,
41003220,0,,,
41003221,0,,,
41003222,0,,,
41003223,0,,,
41003224,0,,,
41003225,0,,,
41003226,0,,,
41003227,0,,,
41003228,0,,,
41003229,0,,,
41003230,0,,,
41003231,0,,,
41003232,0,,,
41003233,0,,,
41003234,0,,,
41003235,0,,,
41003236,0,,,
41003237,0,,,
41003238,0,,,
41003239,0,,,
41003240,0,,,
41003241,0,,,
41003242,0,,,
41003243,0,,,
41003244,0,,,
41003245,0,,,
41003246,0,,,
41003247,0,,,
41003248,0,,,
41003249,0,,,
41003250,0,,,
41003251,0,,,
41003252,0,,,
41003253,0,,,
41003254,0,,,
41003255,0,,,
41003256,0,,,
41003257,0,,,
41003258,0,,,
41003259,0,,,
41003260,0,,,
41003261,0,,,
41003262,0,,,
41003263,0,,,
41003264,0,,,
41003265,0,,,
41003266,0,,,
41003267,0,,,
41003268,0,,,
41003269,0,,,
41003270,0,,,
41003271,0,,,
41003272,0,,,
41003273,0,,,
41003274,0,,,
41003275,0,,,
41003276,0,,,
41003277,0,,,
41003278,0,,,
41003279,0,,,
41003280,0,,,
41003281,0,,,
41003282,0,,,
41003283,0,,,
41003284,0,,,
41003285,0,,,
41003286,0,,,
41003287,0,,,
41003288,0,,,
41003289,0,,,
41003290,0,,,
41003291,0,,,
41003292,0,,,
41003293,0,,,
41003294,0,,,
41003295,0,,,
41003296,0,,,
41003297,0,,,
41003298,0,,,
41003299,0,,,
41003300,0,,,
41003301,0,,,
41003302,0,,,
41003303,0,,,
41003304,0,,,
41003305,0,,,
41003306,0,,,
41003307,0,,,
41003308,0,,,
41003309,0,,,
41003310,0,,,
41003311,0,,,
41003312,0,,,
41003313,0,,,
41003314,0,,,
41003315,0,,,
41003316,0,,,
41003317,0,,,
41003318,0,,,
41003319,0,,,
41003320,0,,,
41003321,0,,,
41003322,0,,,
41003323,0,,,
41003324,0,,,
41003325,0,,,
41003326,0,,,
41003327,0,,,
41003328,0,,,
41003329,0,,,
41003330,0,,,
41003331,0,,,
41003332,0,,,
41003333,0,,,
41003334,0,,,
41003335,0,,,
41003336,0,,,
41003337,0,,,
41003338,0,,,
41003339,0,,,
41003340,0,,,
41003341,0,,,
41003342,0,,,
41003343,0,,,
41003344,0,,,
41003345,0,,,
41003346,0,,,
41003347,0,,,
41003348,0,,,
41003349,0,,,
41003350,0,,,
41003351,0,,,
41003352,0,,,
41003353,0,,,
41003354,0,,,
41003355,0,,,
41003356,0,,,
41003357,0,,,
41003358,0,,,
41003359,0,,,
41003360,0,,,
41003361,0,,,
41003362,0,,,
41003363,0,,,
41003364,0,,,
41003365,0,,,
41003366,0,,,
41003367,0,,,
41003368,0,,,
41003369,0,,,
41003370,0,,,
41003371,0,,,
41003372,0,,,
41003373,0,,,
41003374,0,,,
41003375,0,,,
41003376,0,,,
41003377,0,,,
41003378,0,,,
41003379,0,,,
41003380,0,,,
41003381,0,,,
41003382,0,,,
41003383,0,,,
41003384,0,,,
41003385,0,,,
41003386,0,,,
41003387,0,,,
41003388,0,,,
41003389,0,,,
41003390,0,,,
41003391,0,,,
41003392,0,,,
41003393,0,,,
41003394,0,,,
41003395,0,,,
41003396,0,,,
41003397,0,,,
41003398,0,,,
41003399,0,,,
41003400,0,,,
41003401,0,,,
41003402,0,,,
41003403,0,,,
41003404,0,,,
41003405,0,,,
41003406,0,,,
41003407,0,,,
41003408,0,,,
41003409,0,,,
41003410,0,,,
41003411,0,,,
41003412,0,,,
41003413,0,,,
41003414,0,,,
41003415,0,,,
41003416,0,,,
41003417,0,,,
41003418,0,,,
41003419,0,,,
41003420,0,,,
41003421,0,,,
41003422,0,,,
41003423,0,,,
41003424,0,,,
41003425,0,,,
41003426,0,,,
41003427,0,,,
41003428,0,,,
41003429,0,,,
41003430,0,,,
41003431,0,,,
41003432,0,,,
41003433,0,,,
41003434,0,,,
41003435,0,,,
41003436,0,,,
41003437,0,,,
41003438,0,,,
41003439,0,,,
41003440,0,,,
41003441,0,,,
41003442,0,,,
41003443,0,,,
41003444,0,,,
41003445,0,,,
41003446,0,,,
41003447,0,,,
41003448,0,,,
41003449,0,,,
41003450,0,,,
41003451,0,,,
41003452,0,,,
41003453,0,,,
41003454,0,,,
41003455,0,,,
41003456,0,,,
41003457,0,,,
41003458,0,,,
41003459,0,,,
41003460,0,,,
41003461,0,,,
41003462,0,,,
41003463,0,,,
41003464,0,,,
41003465,0,,,
41003466,0,,,
41003467,0,,,
41003468,0,,,
41003469,0,,,
41003470,0,,,
41003471,0,,,
41003472,0,,,
41003473,0,,,
41003474,0,,,
41003475,0,,,
41003476,0,,,
41003477,0,,,
41003478,0,,,
41003479,0,,,
41003480,0,,,
41003481,0,,,
41003482,0,,,
41003483,0,,,
41003484,0,,,
41003485,0,,,
41003486,0,,,
41003487,0,,,
41003488,0,,,
41003489,0,,,
41003490,0,,,
41003491,0,,,
41003492,0,,,
41003493,0,,,
41003494,0,,,
41003495,0,,,
41003496,0,,,
41003497,0,,,
41003498,0,,,
41003499,0,,,
41003500,0,,,
41003501,0,,,
41003502,0,,,
41003503,0,,,
41003504,0,,,
41003505,0,,,
41003506,0,,,
41003507,0,,,
41003508,0,,,
41003509,0,,,
41003510,0,,,
41003511,0,,,
41003512,0,,,
41003513,0,,,
41003514,0,,,
41003515,0,,,
41003516,0,,,
41003517,0,,,
41003518,0,,,
41003519,0,,,
41003520,0,,,
41003521,0,,,
41003522,0,,,
41003523,0,,,
41003524,0,,,
41003525,0,,,
41003526,0,,,
41003527,0,,,
41003528,0,,,
41003529,0,,,
41003530,0,,,
41003531,0,,,
41003532,0,,,
41003533,0,,,
41003534,0,,,
41003535,0,,,
41003536,0,,,
41003537,0,,,
41003538,0,,,
