col1,co2,Columna1,Columna2,Columna2
08131316,0,,,
08131317,0,,,
08131318,0,,,
08131319,0,,,
08131320,0,,,
08131321,0,,,
08131322,0,,,
08131323,0,,,
08131324,0,,,
08131325,0,,,
08131326,0,,,
08131327,0,,,
08131328,0,,,
08131329,0,,,
08131330,0,,,
08131331,0,,,
08131332,0,,,
08131333,0,,,
08131334,0,,,
08131335,0,,,
08131336,0,,,
08131337,0,,,
08131338,0,,,
08131339,0,,,
08131340,0,,,
08131341,0,,,
08131342,0,,,
08131343,0,,,
08131344,0,,,
08131345,0,,,
08131346,0,,,
08131347,0,,,
08131348,0,,,
08131349,0,,,
08131350,0,,,
08131351,0,,,
08131352,0,,,
08131353,0,,,
08131354,0,,,
08131355,0,,,
08131356,0,,,
08131357,0,,,
08131358,0,,,
08131359,0,,,
08131360,0,,,
08131361,0,,,
08131362,0,,,
08131363,0,,,
08131364,0,,,
08131365,0,,,
08131366,0,,,
08131367,0,,,
08131368,0,,,
08131369,0,,,
08131370,0,,,
08131371,0,,,
08131372,0,,,
08131373,0,,,
08131374,0,,,
08131375,0,,,
08131376,0,,,
08131377,0,,,
08131378,0,,,
08131379,0,,,
08131380,0,,,
08131381,0,,,
